smiles
C#CCN1CCN(CC2=CC=C(C=O)C=C2)CCC1
O=CC1=CC=C(CN2CCN(CC#C)CC2)C=C1
C#CCN(CC1)CC21CCN(CC3=CC=C(C=O)C=C3)C2
C#CCN1C(C2=CC=C(C=O)C=C2)COCC1
